name	id_mk	id_recipe	level	id_item	count	mp_cost	success_rate	materials_cnt	materials_extra	materials_m[0]_id	materials_m[0]_cnt	materials_m[1]_id	materials_m[1]_cnt	materials_m[2]_id	materials_m[2]_cnt	materials_m[3]_id	materials_m[3]_cnt	materials_m[4]_id	materials_m[4]_cnt	materials_m[5]_id	materials_m[5]_cnt	materials_m[6]_id	materials_m[6]_cnt	materials_m[7]_id	materials_m[7]_cnt
a,mk_elven_necklace\0	49	2156	3	913	1	120	100	6	0	2156	1	1904	10	34992	68	1879	12	1458	21	2130	14				
a,mk_onyxbeast'seye_earing\0	50	2157	4	851	1	129	100	6	0	2157	1	1905	10	34992	66	1879	11	1458	21	2130	14				
a,mk_mithril_ring\0	51	2158	4	882	1	129	100	6	0	2158	1	1906	10	34992	44	1879	8	1458	14	2130	9				
a,mk_necklace_of_darkness\0	52	2159	4	914	1	129	100	6	0	2159	1	1907	10	34992	88	1879	15	1458	27	2130	18				
a,mk_moonstone_earing\0	53	2160	4	852	1	138	100	6	0	2160	1	1908	10	34992	84	1879	14	1459	6	2131	6				
a,mk_aquastone_ring\0	54	2161	4	883	1	138	100	6	0	2161	1	1909	10	34992	56	1879	10	1459	4	2131	4				
a,mk_aquastone_necklace\0	55	2162	4	915	1	138	100	6	0	2162	1	1910	10	34992	112	1879	19	1459	8	2131	8				
a,mk_earing_of_protection\0	56	2163	5	853	1	147	100	6	0	2163	1	1911	10	34992	106	1879	18	1459	8	2131	8				
a,mk_ring_of_protection\0	57	2164	5	884	1	147	100	6	0	2164	1	1912	10	34992	71	1879	12	1459	5	2131	5				
a,mk_necklace_of_protection\0	58	2165	5	916	1	147	100	6	0	2165	1	1913	10	34992	141	1879	24	1459	10	2131	10				
a,mk_earing_of_binding\0	59	2166	5	854	1	156	100	6	0	2166	1	1914	10	34992	159	1879	27	1459	11	2131	11				
a,mk_ring_of_ages\0	60	2167	5	885	1	156	100	6	0	2167	1	1915	10	34992	106	1879	18	1459	8	2131	8				
a,mk_necklace_of_mermaid\0	61	2168	5	917	1	156	100	6	0	2168	1	1916	10	34992	212	1879	36	1459	15	2131	15				
a,mk_necklace_of_binding\0	62	2169	6	119	1	165	100	6	0	2169	1	1920	10	34992	305	1879	51	1459	21	2131	21				
a,mk_nassen's_earing\0	63	2170	6	855	1	165	100	6	0	2170	1	1918	10	34992	229	1879	39	1459	16	2131	16				
a,mk_ring_of_sage\0	64	2171	7	891	1	183	100	6	0	2171	1	1919	10	34992	237	1888	8	1460	6	2132	5				
a,mk_sage's_necklace\0	65	2172	7	922	1	183	100	6	0	2172	1	1917	10	34992	474	1888	15	1460	11	2132	10				
a,mk_hard_leather_shirt\0	66	2173	1	27	1	72	100	5	0	2173	1	1927	10	34991	15	1879	3	34994	57						
a,mk_hard_leather_gaiters\0	67	2174	1	33	1	72	100	5	0	2174	1	1929	10	34991	9	1879	2	34994	36						
a,mk_boots\0	68	2175	1	39	1	72	100	5	0	2175	1	1930	10	34991	5	1879	1	34994	19						
a,mk_leather_boots\0	69	2176	2	40	1	84	100	6	0	2176	1	1931	10	34991	9	1879	2	1458	3	2130	2				
a,mk_bone_helmet\0	70	2177	2	45	1	84	100	6	0	2177	1	1932	10	34991	13	1879	3	1458	4	2130	3				
a,mk_dark_hose\0	71	2178	2	467	1	96	100	6	0	2178	1	1933	10	34991	24	1879	4	1458	8	2130	5				
a,mk_excellence_leather_gloves\0	72	2179	2	604	1	84	100	6	0	2179	1	1934	10	34991	9	1879	2	1458	3	2130	2				
a,mk_scale_mail\0	73	2180	2	348	1	96	100	6	0	2180	1	1935	10	34991	52	1879	9	1458	16	2130	11				
a,mk_white_tunic\0	74	2181	2	434	1	96	100	6	0	2181	1	1936	10	34991	39	1879	7	1458	12	2130	8				
a,mk_scale_gaiters\0	75	2182	2	377	1	96	100	6	0	2182	1	1937	10	34991	33	1879	6	1458	10	2130	7				
a,mk_mithril_banded_mail\0	76	2183	3	393	1	108	100	6	0	2183	1	1938	10	34991	59	1879	10	1458	18	2130	12				
a,mk_mithril_banded_gaiters\0	77	2184	3	415	1	108	100	6	0	2184	1	1939	10	34991	37	1879	7	1458	12	2130	8				
a,mk_iron_boots\0	78	2185	3	553	1	108	100	6	0	2185	1	1940	10	34991	20	1879	4	1458	7	2130	4				
a,mk_brigandine\0	79	2186	3	352	1	120	100	6	0	2186	1	1941	10	34991	115	1879	20	1458	36	2130	23				
a,mk_manticor_skin_shirt\0	80	2187	3	395	1	120	100	6	0	2187	1	1942	10	34991	86	1879	15	1458	27	2130	18				
a,mk_manticor_skin_gaiters\0	81	2188	3	417	1	120	100	6	0	2188	1	1943	10	34991	54	1879	9	1458	17	2130	11				
a,mk_mithril_tunic\0	82	2189	3	437	1	120	100	6	0	2189	1	1944	10	34991	86	1879	15	1458	27	2130	18				
a,mk_mithril_hose\0	83	2190	3	470	1	120	100	6	0	2190	1	1945	10	34991	54	1879	9	1458	17	2130	11				
a,mk_gauntlet_of_repose_of_the_soul\0	84	2191	3	606	1	120	100	6	0	2191	1	1946	10	34991	29	1879	5	1458	9	2130	6				
a,mk_kite_shield\0	85	2192	3	629	1	120	100	6	0	2192	1	1947	10	34991	31	1879	6	1458	10	2130	7				
a,mk_boots_of_power\0	86	2193	3	1124	1	120	100	6	0	2193	1	1948	10	34991	29	1879	5	1458	9	2130	6				
a,mk_mithril_glove\0	87	2194	4	61	1	129	100	6	0	2194	1	1949	10	34991	38	1879	7	1458	12	2130	8				
a,mk_half_plate\0	88	2195	4	353	1	129	100	6	0	2195	1	1950	10	34991	151	1879	26	1458	47	2130	31				
a,mk_plate_gaiters\0	89	2196	4	380	1	129	100	6	0	2196	1	1951	10	34991	94	1879	16	1458	29	2130	19				
a,mk_slamander_skin_mail\0	90	2197	4	396	1	129	100	6	0	2197	1	1952	10	34991	184	1879	31	1458	57	2130	37				
a,mk_sage's_rag\0	91	2198	4	438	1	129	100	6	0	2198	1	1953	10	34991	184	1879	31	1458	57	2130	37				
a,mk_karmian_hose\0	92	2199	4	471	1	138	100	6	0	2199	1	1954	10	34991	92	1879	16	1459	7	2131	7				
a,mk_chain_helmet\0	93	2200	4	497	1	129	100	6	0	2200	1	1955	10	34991	57	1879	10	1459	4	2131	4				
a,mk_square_shield\0	94	2201	4	630	1	129	100	6	0	2201	1	1956	10	34991	40	1879	7	1458	13	2130	8				
a,mk_assault_boots\0	95	2202	4	1125	1	129	100	6	0	2202	1	1957	10	34991	38	1879	7	1458	12	2130	8				
a,mk_mithril_boots\0	96	2203	4	62	1	138	100	6	0	2203	1	1958	10	34991	49	1879	9	1459	4	2131	4				
a,mk_chain_mail_shirt\0	97	2204	4	354	1	138	100	6	0	2204	1	1959	10	34991	195	1879	33	1459	13	2131	13				
a,mk_chain_gaiters\0	98	2205	4	381	1	138	100	6	0	2205	1	1960	10	34991	122	1879	21	1459	9	2131	9				
a,mk_tempered_mithril_shirt\0	99	2206	4	397	1	138	100	6	0	2206	1	1961	10	34991	146	1879	25	1459	10	2131	10				
a,mk_karmian_tunic\0	100	2207	4	439	1	138	100	6	0	2207	1	1962	10	34991	146	1879	25	1459	10	2131	10				
a,mk_ogre_power_gauntlet\0	101	2208	4	607	1	129	100	6	0	2208	1	1963	10	34991	38	1879	7	1458	12	2130	8				
a,mk_eldarake\0	102	2209	4	631	1	138	100	6	0	2209	1	1964	10	34991	51	1879	9	1459	4	2131	4				
a,mk_metal_plate_helmet\0	103	2210	4	498	1	141	100	6	0	2210	1	1965	10	34991	80	1879	14	1459	6	2131	6				
a,mk_plate_leather\0	104	2211	5	398	1	144	100	6	0	2211	1	1966	10	34991	172	1879	29	1459	12	2131	12				
a,mk_plate_leather_gaiters\0	105	2212	5	418	1	144	100	6	0	2212	1	1967	10	34991	108	1879	18	1459	8	2131	8				
a,mk_dwarven_chain_mail_shirt\0	106	2213	5	355	1	147	100	6	0	2213	1	1968	10	34991	248	1879	42	1459	17	2131	17				
a,mk_dwarven_chain_gaiters\0	107	2214	5	382	1	147	100	6	0	2214	1	1969	10	34991	155	1879	26	1459	11	2131	11				
a,mk_robe_of_seal\0	108	2215	5	440	1	147	100	6	0	2215	1	1970	10	34991	302	1879	51	1459	21	2131	21				
a,mk_great_helmet\0	109	2216	5	500	1	147	100	6	0	2216	1	1971	10	34991	93	1879	16	1459	7	2131	7				
a,mk_knight_shield\0	110	2217	5	632	1	147	100	6	0	2217	1	1972	10	34991	66	1879	11	1459	5	2131	5				
a,mk_paagrio_hand\0	111	2218	5	1120	1	147	100	6	0	2218	1	1973	10	34991	62	1879	11	1459	5	2131	5				
a,mk_crimson_boots\0	112	2219	5	1126	1	147	100	6	0	2219	1	1974	10	34991	62	1879	11	1459	5	2131	5				
a,mk_rind_leather_mail\0	113	2220	5	399	1	147	100	6	0	2220	1	1975	10	34991	186	1879	31	1459	13	2131	13				
a,mk_rind_leather_gaiters\0	114	2221	5	419	1	147	100	6	0	2221	1	1976	10	34991	117	1879	20	1459	8	2131	8				
a,mk_composite_armor\0	115	2222	5	60	1	156	100	6	0	2222	1	1977	10	34991	614	1879	103	1459	41	2131	41				
a,mk_tower_shield\0	116	2223	5	103	1	156	100	6	0	2223	1	1978	10	34991	100	1879	17	1459	7	2131	7				
a,mk_demon's_tunic\0	117	2224	5	441	1	156	100	6	0	2224	1	1979	10	34991	283	1879	48	1459	19	2131	19				
a,mk_demon's_hose\0	118	2225	5	472	1	156	100	6	0	2225	1	1980	10	34991	177	1879	30	1459	12	2131	12				
a,mk_mithril_gauntlet\0	119	2226	5	608	1	156	100	6	0	2226	1	1981	10	34991	95	1879	16	1459	7	2131	7				
a,mk_forgotten_boots\0	120	2227	5	1127	1	156	100	6	0	2227	1	1982	10	34991	95	1879	16	1459	7	2131	7				
a,mk_shining_circlet\0	121	2228	5	1149	1	156	100	6	0	2228	1	1983	10	34991	142	1879	24	1459	10	2131	10				
a,mk_theca_leather_mail\0	122	2229	5	400	1	159	100	6	0	2229	1	1984	10	34991	318	1879	53	1459	22	2131	22				
a,mk_theca_leather_gaiters\0	123	2230	5	420	1	159	100	6	0	2230	1	1985	10	34991	199	1879	34	1459	14	2131	14				
a,mk_full_plate_armor\0	124	2231	6	356	1	165	100	6	0	2231	1	1986	10	34991	894	1879	149	1459	60	2131	60				
a,mk_drake_leather_mail\0	125	2232	6	401	1	165	100	6	0	2232	1	1987	10	34991	671	1879	112	1459	45	2131	45				
a,mk_divine_tunic\0	126	2233	6	442	1	165	100	6	0	2233	1	1988	10	34991	413	1879	69	1459	28	2131	28				
a,mk_divine_hose\0	127	2234	6	473	1	165	100	6	0	2234	1	1989	10	34991	258	1879	43	1459	18	2131	18				
a,mk_mithril_helmet\0	128	2235	6	499	1	165	100	6	0	2235	1	1990	10	34991	207	1879	35	1459	14	2131	14				
a,mk_cap_of_mana\0	129	2236	6	529	1	165	100	6	0	2236	1	1991	10	34991	207	1879	35	1459	14	2131	14				
a,mk_paradia_hood\0	130	2237	6	531	1	165	100	6	0	2237	1	1992	10	34991	207	1879	35	1459	14	2131	14				
a,mk_hood_of_sola_eclipse\0	131	2238	6	533	1	165	100	6	0	2238	1	1993	10	34991	207	1879	35	1459	14	2131	14				
a,mk_hood_of_summons\0	132	2239	6	535	1	165	100	6	0	2239	1	1994	10	34991	207	1879	35	1459	14	2131	14				
a,mk_elemental_hood\0	133	2240	6	537	1	165	100	6	0	2240	1	1995	10	34991	207	1879	35	1459	14	2131	14				
a,mk_hood_of_grace\0	134	2241	6	539	1	165	100	6	0	2241	1	1996	10	34991	207	1879	35	1459	14	2131	14				
a,mk_phoenix's_hood\0	135	2242	6	541	1	165	100	6	0	2242	1	1997	10	34991	207	1879	35	1459	14	2131	14				
a,mk_hood_of_assistance\0	136	2243	6	543	1	165	100	6	0	2243	1	1998	10	34991	207	1879	35	1459	14	2131	14				
a,mk_flame_bonnet\0	137	2244	6	545	1	165	100	6	0	2244	1	1999	10	34991	207	1879	35	1459	14	2131	14				
a,mk_pata_i\0	138	5008	6	264	1	171	60	6	0	5008	1	5008	10	34990	940	1888	72	1460	53	2132	47				
a,mk_bonnet_o'_avadon\0	139	2246	6	549	1	165	100	6	0	2246	1	2001	10	34991	207	1879	35	1459	14	2131	14				
a,mk_helmet_of_pledge\0	140	2247	6	551	1	165	100	6	0	2247	1	2002	10	34991	207	1879	35	1459	14	2131	14				
a,mk_gauntlet_of_ghost\0	141	2248	6	609	1	165	100	6	0	2248	1	2003	10	34991	138	1879	23	1459	10	2131	10				
a,mk_adamantite_boots\0	142	2249	6	1128	1	165	100	6	0	2249	1	2004	10	34991	138	1879	23	1459	10	2131	10				
a,mk_bone_arrow\0	143	2250	2	1341	650	80	100	2	0	1864	1	1881	1												
a,mk_fine_steel_arrow\0	144	2251	3	1342	600	100	100	2	0	1864	4	1880	1												
a,mk_iron_hammer\0	145	2252	1	87	1	72	100	5	0	2252	1	2014	10	34990	53	1879	22	34994	527						
a,mk_sword_breaker\0	146	2253	1	219	1	72	100	5	0	2253	1	2015	10	34990	53	1879	22	34994	527						
a,mk_composition_bow\0	147	2254	1	273	1	72	100	5	0	2254	1	2016	10	34990	53	1879	22	34994	527						
a,mk_saber\0	148	2255	2	123	1	84	100	6	0	2255	1	2017	10	34990	89	1879	37	1458	68	2130	45				
a,mk_assassin_knife\0	149	2256	2	221	1	84	100	6	0	2256	1	2018	10	34990	89	1879	37	1458	68	2130	45				
a,mk_trident\0	150	2257	2	291	1	84	100	6	0	2257	1	2019	10	34990	89	1879	37	1458	68	2130	45				
a,mk_temptation_of_abyss\0	151	2258	2	313	1	84	100	6	0	2258	1	2020	10	34990	89	1879	37	1458	68	2130	45				
a,mk_spinebone_sword\0	152	2259	2	125	1	96	100	6	0	2259	1	2021	10	34990	139	1879	58	1458	107	2130	70				
a,mk_mace_of_judgment\0	153	2260	2	180	1	96	100	6	0	2260	1	2022	10	34990	139	1879	58	1458	107	2130	70				
a,mk_conjure_staff\0	154	2261	2	184	1	96	100	6	0	2261	1	2023	10	34990	139	1879	58	1458	107	2130	70				
a,mk_elven_bow\0	155	2262	2	276	1	96	100	6	0	2262	1	2024	10	34990	139	1879	58	1458	107	2130	70				
a,mk_dwarven_trident\0	156	2263	2	295	1	96	100	6	0	2263	1	2025	10	34990	139	1879	58	1458	107	2130	70				
a,mk_two-handed_sword\0	157	2264	3	124	1	108	100	6	0	2264	1	2026	10	34990	209	1879	87	1458	161	2130	105				
a,mk_spike_club\0	158	2265	3	157	1	108	100	6	0	2265	1	2027	10	34990	209	1879	87	1458	161	2130	105				
a,mk_knife_o'_silenus\0	159	2266	3	241	1	108	100	6	0	2266	1	2028	10	34990	209	1879	87	1458	161	2130	105				
a,mk_gastraphetes\0	160	2267	3	278	1	108	100	6	0	2267	1	2029	10	34990	209	1879	87	1458	161	2130	105				
a,mk_tome_of_blood\0	161	2268	3	317	1	108	100	6	0	2268	1	2030	10	34990	209	1879	87	1458	161	2130	105				
a,mk_morning_star\0	162	2269	3	88	1	120	100	6	0	2269	1	2031	10	34990	301	1879	126	1458	232	2130	151				
a,mk_goathead_staff\0	163	2270	3	90	1	120	100	6	0	2270	1	2032	10	34990	301	1879	126	1458	232	2130	151				
a,mk_winged_spear\0	164	2271	3	93	1	120	100	6	0	2271	1	2033	10	34990	301	1879	126	1458	232	2130	151				
a,mk_sword_of_revolution\0	165	2272	3	129	1	120	100	6	0	2272	1	2034	10	34990	301	1879	126	1458	232	2130	151				
a,mk_tarbar\0	166	2273	3	158	1	120	100	6	0	2273	1	2035	10	34990	301	1879	126	1458	232	2130	151				
a,mk_skull_breaker\0	167	2274	3	169	1	120	100	6	0	2274	1	2036	10	34990	301	1879	126	1458	232	2130	151				
a,mk_heavy_bone_club\0	168	2275	3	172	1	120	100	6	0	2275	1	2037	10	34990	301	1879	126	1458	232	2130	151				
a,mk_maingauche\0	169	2276	3	224	1	120	100	6	0	2276	1	2038	10	34990	301	1879	126	1458	232	2130	151				
a,mk_bich'hwa\0	170	2277	3	261	1	120	100	6	0	2277	1	2039	10	34990	301	1879	126	1458	232	2130	151				
a,mk_strengthening_long_bow\0	171	2278	3	279	1	120	100	6	0	2278	1	2040	10	34990	301	1879	126	1458	232	2130	151				
a,mk_hammer_in_flames\0	172	2279	3	294	1	120	100	6	0	2279	1	2041	10	34990	301	1879	126	1458	232	2130	151				
a,mk_crucifix_of_blood\0	173	2280	3	318	1	120	100	6	0	2280	1	2042	10	34990	301	1879	126	1458	232	2130	151				
a,mk_eye_of_infinity\0	174	2281	3	319	1	120	100	6	0	2281	1	2043	10	34990	392	1879	164	1458	302	2130	196				
a,mk_cursed_maingauche\0	175	2282	3	1660	1	120	100	6	0	2282	1	2044	10	34990	301	1879	126	1458	232	2130	151				
a,mk_blue_crystal_skull\0	176	2283	4	320	1	123	100	6	0	2283	1	2045	10	34990	426	1879	178	1458	328	2130	213				
a,mk_demon_fangs\0	177	2284	4	321	1	123	100	6	0	2284	1	2046	10	34990	329	1879	137	1458	253	2130	165				
a,mk_claymore\0	178	2285	4	70	1	129	100	6	0	2285	1	2047	10	34990	389	1879	162	1458	299	2130	195				
a,mk_bonebreaker\0	179	2286	4	159	1	129	100	6	0	2286	1	2048	10	34990	389	1879	162	1458	299	2130	195				
a,mk_atuba_hammer\0	180	2287	4	187	1	129	100	6	0	2287	1	2049	10	34990	389	1879	162	1458	299	2130	195				
a,mk_ghost_staff\0	181	2288	4	188	1	129	100	6	0	2288	1	2050	10	34990	389	1879	162	1458	299	2130	195				
a,mk_life_stick\0	182	2289	4	189	1	129	100	6	0	2289	1	2051	10	34990	389	1879	162	1458	299	2130	195				
a,mk_mithril_dagger\0	183	2290	4	225	1	129	100	6	0	2290	1	2052	10	34990	389	1879	162	1458	299	2130	195				
a,mk_scallop_jamadhr\0	184	2291	4	262	1	129	100	6	0	2291	1	2053	10	34990	389	1879	162	1458	299	2130	195				
a,mk_cyclone_bow\0	185	2292	4	280	1	129	100	6	0	2292	1	2054	10	34990	389	1879	162	1458	299	2130	195				
a,mk_glaive\0	186	2293	4	297	1	129	100	6	0	2293	1	2055	10	34990	389	1879	162	1458	299	2130	195				
a,mk_vajra_wands\0	187	2294	4	322	1	129	100	6	0	2294	1	2056	10	34990	504	1879	210	1458	388	2130	252				
a,mk_ancient_reagent\0	188	2295	4	323	1	129	100	6	0	2295	1	2057	10	34990	504	1879	210	1458	388	2130	252				
a,mk_atuba_mace\0	189	2296	4	190	1	129	100	6	0	2296	1	2058	10	34990	389	1879	162	1458	299	2130	195				
a,mk_flamberge\0	190	2297	4	71	1	138	100	6	0	2297	1	2059	10	34990	494	1879	206	1459	83	2131	83				
a,mk_stormbringer\0	191	2298	4	72	1	138	100	6	0	2298	1	2060	10	34990	494	1879	206	1459	83	2131	83				
a,mk_big_hammer\0	192	2299	4	89	1	138	100	6	0	2299	1	2061	10	34990	494	1879	206	1459	83	2131	83				
a,mk_scythe\0	193	2300	4	96	1	138	100	6	0	2300	1	2062	10	34990	494	1879	206	1459	83	2131	83				
a,mk_battle_axe\0	194	2301	4	160	1	138	100	6	0	2301	1	2063	10	34990	494	1879	206	1459	83	2131	83				
a,mk_war_pick\0	195	2302	4	161	1	138	100	6	0	2302	1	2064	10	34990	494	1879	206	1459	83	2131	83				
a,mk_skull_graver\0	196	2303	4	173	1	138	100	6	0	2303	1	2065	10	34990	494	1879	206	1459	83	2131	83				
a,mk_heavy_doom_hammer\0	197	2304	4	191	1	138	100	6	0	2304	1	2066	10	34990	494	1879	206	1459	83	2131	83				
a,mk_crystal_staff\0	198	2305	4	192	1	138	100	6	0	2305	1	2067	10	34990	494	1879	206	1459	83	2131	83				
a,mk_stick_of_faith\0	199	2306	4	193	1	138	100	6	0	2306	1	2068	10	34990	494	1879	206	1459	83	2131	83				
a,mk_heavy_doom_axe\0	200	2307	4	194	1	138	100	6	0	2307	1	2069	10	34990	494	1879	206	1459	83	2131	83				
a,mk_cursed_dagger\0	201	2308	4	226	1	138	100	6	0	2308	1	2070	10	34990	494	1879	206	1459	83	2131	83				
a,mk_needle_wolverine\0	202	2309	4	230	1	138	100	6	0	2309	1	2071	10	34990	494	1879	206	1459	83	2131	83				
a,mk_darkelven_dagger\0	203	2310	4	232	1	138	100	6	0	2310	1	2072	10	34990	494	1879	206	1459	83	2131	83				
a,mk_chakram\0	204	2311	4	263	1	138	100	6	0	2311	1	2073	10	34990	494	1879	206	1459	83	2131	83				
a,mk_crystallized_ice_bow\0	205	2312	4	281	1	138	100	6	0	2312	1	2074	10	34990	494	1879	206	1459	83	2131	83				
a,mk_orcish_glaive\0	206	2313	4	298	1	138	100	6	0	2313	1	2075	10	34990	494	1879	206	1459	83	2131	83				
a,mk_body_slasher\0	207	2314	4	302	1	138	100	6	0	2314	1	2076	10	34990	494	1879	206	1459	83	2131	83				
a,mk_shamshir\0	208	2315	5	73	1	147	100	6	0	2315	1	2077	10	34990	619	1879	258	1459	104	2131	104				
a,mk_katana\0	209	2316	5	74	1	147	100	6	0	2316	1	2078	10	34990	619	1879	258	1459	104	2131	104				
a,mk_bech_de_corbin\0	210	2317	5	94	1	147	100	6	0	2317	1	2079	10	34990	619	1879	258	1459	104	2131	104				
a,mk_spirits_sword\0	211	2318	5	131	1	147	100	6	0	2318	1	2080	10	34990	619	1879	258	1459	104	2131	104				
a,mk_raid_sword\0	212	2319	5	133	1	147	100	6	0	2319	1	2081	10	34990	619	1879	258	1459	104	2131	104				
a,mk_cursed_staff\0	213	2320	5	195	1	147	100	6	0	2320	1	2082	10	34990	619	1879	258	1459	104	2131	104				
a,mk_stiletto\0	214	2321	5	227	1	147	100	6	0	2321	1	2083	10	34990	619	1879	258	1459	104	2131	104				
a,mk_dagger_of_magicflame\0	215	2322	5	242	1	147	100	6	0	2322	1	2084	10	34990	619	1879	258	1459	104	2131	104				
a,mk_elemental_bow\0	216	2323	5	282	1	147	100	6	0	2323	1	2085	10	34990	619	1879	258	1459	104	2131	104				
a,mk_noble_elven_bow\0	217	2324	5	285	1	147	100	6	0	2324	1	2086	10	34990	619	1879	258	1459	104	2131	104				
a,mk_tears_of_fairy\0	218	2325	5	324	1	147	100	6	0	2325	1	2087	10	34990	804	1879	335	1459	134	2131	134				
