tag_?	quest_id	quest_prog	main_name	prog_name	description	cnt0	items[0]	items[1]	items[2]	items[3]	items[4]	items[5]	items[6]	items[7]	items[8]	items[9]	items[10]	items[11]	items[12]	items[13]	cnt1	num_items[0]	num_items[1]	num_items[2]	num_items[3]	num_items[4]	num_items[5]	num_items[6]	num_items[7]	num_items[8]	num_items[9]	num_items[10]	num_items[11]	num_items[12]	num_items[13]	SAKI_UNK	UNKNOWN_TABLE[0]	UNKNOWN_TABLE[1]	UNKNOWN_TABLE[2]	UNKNOWN_TABLE[3]	UNKNOWN_TABLE[4]	UNKNOWN_TABLE[5]	UNKNOWN_TABLE[6]	UNKNOWN_TABLE[7]	UNKNOWN_TABLE[8]	UNKNOWN_TABLE[9]	UNKNOWN_TABLE[10]	UNKNOWN_TABLE[11]	UNKNOWN_TABLE[12]	UNKNOWN_TABLE[13]	quest_x	quest_y	quest_z	cnt2	quest_x_1	quest_y_1	quest_z_1	quest_x_2	quest_y_2	quest_z_2	quest_x_3	quest_y_3	quest_z_3	quest_x_4	quest_y_4	quest_z_4	quest_x_5	quest_y_5	quest_z_5	quest_x_6	quest_y_6	quest_z_6	quest_x_7	quest_y_7	quest_z_7	quest_x_8	quest_y_8	quest_z_8	UNK_VAL[0]	UNK_VAL[1]	UNK_VAL[2]	UNK_VAL[3]	UNK_VAL[4]	UNK_VAL[5]	UNK_VAL[6]	UNK_VAL[7]	UNK_2	lvl_min	lvl_max	quest_type	entity_name	get_item_in_quest	UNK_3	UNK_4	UNK_5	contact_npc_id[0]	contact_npc_id[1]	contact_npc_id[2]	contact_npc_id[3]	contact_npc_id[4]	contact_npc_id[5]	contact_npc_id[6]	contact_npc_id[7]	contact_npc_x	contact_npc_y	contact_npc_z	restricions	short_description	cnt3	UNK_6	req_class[0]	req_class[1]	req_class[2]	req_class[3]	req_class[4]	req_class[5]	req_class[6]	req_class[7]	req_class[8]	req_class[9]	req_class[10]	req_class[11]	req_class[12]	req_class[13]	req_class[14]	req_class[15]	req_class[16]	req_class[17]	req_class[18]	req_class[19]	req_class[20]	req_class[21]	req_class[22]	req_class[23]	req_class[24]	req_class[25]	req_class[26]	req_class[27]	req_class[28]	req_class[29]	req_class[30]	req_class[31]	req_class[32]	req_class[33]	req_class[34]	req_class[35]	req_class[36]	req_class[37]	req_class[38]	req_class[39]	req_class[40]	req_class[41]	req_class[42]	req_class[43]	req_class[44]	req_class[45]	req_class[46]	req_class[47]	req_class[48]	req_class[49]	req_class[50]	req_class[51]	req_class[52]	req_class[53]	req_class[54]	req_class[55]	req_class[56]	req_class[57]	req_class[58]	req_class[59]	req_class[60]	req_class[61]	req_class[62]	req_class[63]	req_class[64]	req_class[65]	req_class[66]	req_class[67]	req_class[68]	req_class[69]	req_class[70]	cnt4	req_item[0]	req_item[1]	req_item[2]	clan_pet_quest	req_quest_complete	UNK_7	area_id	UNK_8	cnt5	tab5[0]	tab5[1]	tab5[2]	tab5[3]	tab5[4]	tab5[5]	tab5[6]	tab5[7]	tab5[8]	tab5[9]	tab5[10]	cnt6	tab6[0]	tab6[1]	tab6[2]	tab6[3]	tab6[4]	tab6[5]	tab6[6]	tab6[7]	tab6[8]	tab6[9]	tab6[10]	cnt7	tab7[0]	tab7[1]	tab7[2]	tab7[3]	tab7[4]	tab7[5]	tab7[6]	tab7[7]
1	16	6	a,The Coming Darkness\0	a,Breaking the Seal\0	a,You've broken all the seals. Speak with Tetrarch who can be found near you.\\n\0	0															0															0															89204.00000000	-92656.00000000	-3800.00000000	0																																	0	62	0	3	a,Hierarch\0	1	1	1	1	31517								0.00000000	0.00000000	0.00000000	a,Completion of the "Light and Darkness" quest\0	a,The Hierarch says that you must pass a trial to be recognized as a member of his group.\0	0																																																																									0				0	17	0	200	0	2	15623	15624										2	1795524	167980										1	5							
1	16	-1	a,The Coming Darkness\0	a,	a,	0															0															0															0.00000000	0.00000000	0.00000000	0																																	0	62	0	3	a,	1	1	1	1	31517								0.00000000	0.00000000	0.00000000	a,Completion of the "Light and Darkness" quest\0	a,The Hierarch says that you must pass a trial to be recognized as a member of his group...\0	0																																																																									0				0	17	0	200	0	2	15623	15624										2	1795524	167980										1	6							
1	17	1	a,Light and Darkness\0	a,Breaking the Seal\0	a,Let's go to the Saint's Altar to sprinkle the blood.\\n\0	0															0															0															76656.00000000	-76416.00000000	-3602.00000000	0																																	0	61	0	3	a,Altar of Saints\0	0	1	1	1	31517								0.00000000	0.00000000	0.00000000	a,Completion of the "Sweet Whispers" quest\0	a,The Hierarch is attempting to make it possible to perform his ritual on the Altar of Saints.\0	0																																																																									0				0	15	0	200	0	2	15623	15624										2	1469840	135834										1	0							
1	17	2	a,Light and Darkness\0	a,Breaking the Seal\0	a,Let's go to the Saint's Altar to sprinkle the blood.\\n\0	0															0															0															97264.00000000	-90784.00000000	-2786.00000000	0																																	0	61	0	3	a,Altar of Saints\0	0	1	1	1	31517								0.00000000	0.00000000	0.00000000	a,Completion of the "Sweet Whispers" quest\0	a,The Hierarch is attempting to make it possible to perform his ritual on the Altar of Saints.\0	0																																																																									0				0	15	0	200	0	2	15623	15624										2	1469840	135834										1	1							
1	17	3	a,Light and Darkness\0	a,Breaking the Seal\0	a,Let's go to the Saint's Altar to sprinkle the blood.\\n\0	0															0															0															72750.00000000	-89153.00000000	-3106.00000000	0																																	0	61	0	3	a,Altar of Saints\0	0	1	1	1	31517								0.00000000	0.00000000	0.00000000	a,Completion of the "Sweet Whispers" quest\0	a,The Hierarch is attempting to make it possible to perform his ritual on the Altar of Saints.\0	0																																																																									0				0	15	0	200	0	2	15623	15624										2	1469840	135834										1	2							
1	17	4	a,Light and Darkness\0	a,Breaking the Seal\0	a,Let's go to the Saint's Altar to sprinkle the blood.\\n\0	0															0															0															91744.00000000	-75824.00000000	-3634.00000000	0																																	0	61	0	3	a,Altar of Saints\0	0	1	1	1	31517								0.00000000	0.00000000	0.00000000	a,Completion of the "Sweet Whispers" quest\0	a,The Hierarch is attempting to make it possible to perform his ritual on the Altar of Saints.\0	0																																																																									0				0	15	0	200	0	2	15623	15624										2	1469840	135834										1	3							
1	17	5	a,Light and Darkness\0	a,Breaking the Seal\0	a,Mission accomplished. Let's go find the elder nearby.\\n\0	0															0															0															72704.00000000	-72480.00000000	-4478.00000000	0																																	0	61	0	3	a,Hierarch\0	1	1	1	1	31517								0.00000000	0.00000000	0.00000000	a,Completion of the "Sweet Whispers" quest\0	a,The Hierarch is attempting to make it possible to perform his ritual on the Altar of Saints.\0	0																																																																									0				0	15	0	200	0	2	15623	15624										2	1469840	135834										1	4							
1	17	-1	a,Light and Darkness\0	a,	a,	0															0															0															0.00000000	0.00000000	0.00000000	0																																	0	61	0	3	a,	1	1	1	1	31517								0.00000000	0.00000000	0.00000000	a,Completion of the "Sweet Whispers" quest\0	a,The Hierarch is attempting to make it possible to perform his ritual on the Altar of Saints...\0	0																																																																									0				0	15	0	200	0	2	15623	15624										2	1469840	135834										1	5							
1	19	1	a,Go to the Pastureland!\0	a,Mushy Meat\0	a,Vladimir says the meat delivered from the  Pastureland is not what he ordered and asks you to return it for him.\\n\0	0															0															0															53712.00000000	-83936.00000000	-2728.00000000	0																																	0	82	0	3	a,Beast Herder Tunatun\0	0	1	1	1	31302								44704.00000000	-47472.00000000	-800.00000000	a,No Requirements\0	a,Vladimir says the meat delivered from the Pastureland is not what he ordered and asks to return it for him. \0	0																																																																									0				0	0	0	200	0	3	15623	15624	57									3	1456218	167200	299928									1	0							
1	19	-1	a,Go to the Pastureland!\0	a,	a,	0															0															0															0.00000000	0.00000000	0.00000000	0																																	0	82	0	3	a,	0	1	1	1	31302								44704.00000000	-47472.00000000	-800.00000000	a,No Requirements\0	a,Vladimir says the meat delivered from the Pastureland is not what he ordered and asks to return it for him. \0	0																																																																									0				0	0	0	200	0	3	15623	15624	57									3	1456218	167200	299928									1	1							
1	20	1	a,Bring Up With Love\0	a,Jewel of Innocence\0	a,Beast Herder Tunatun asks you to bring him a Jewel of Innocence that is produced when a young beast with a kind heart is raised.\\n\0	1	15533														1	0														1	1														53712.00000000	-83936.00000000	-2728.00000000	0																																	0	82	0	3	a,Beast Farm\0	1	1	1	1	31537								53712.00000000	-83936.00000000	-2728.00000000	a,No Requirements\0	a,Tunatun wants to have the Jewel of Innocence. But he cannot get it by himself, so asks to get it for him to the Adventurer. \0	0																																																																									0				0	0	0	200	0	3	15623	15624	9553									3	26950000	3093200	1									1	0							
1	20	2	a,Bring Up With Love\0	a,Return to Tunatun\0	a,You've obtained the Jewel of Innocence! Take it to Beast Herder Tunatun in the Pastureland.\\n\0	0															0															0															53712.00000000	-83936.00000000	-2728.00000000	0																																	0	82	0	3	a,Beast Herder Tunatun\0	0	1	1	1	31537								53712.00000000	-83936.00000000	-2728.00000000	a,No Requirements\0	a,Tunatun wants to have the Jewel of Innocence. But he cannot get it by himself, so asks to get it for him to the Adventurer. \0	0																																																																									0				0	0	0	200	0	3	15623	15624	9553									3	26950000	3093200	1									1	1							
1	20	-1	a,Bring Up With Love\0	a,	a,	0															0															0															0.00000000	0.00000000	0.00000000	0																																	0	82	0	3	a,	0	1	1	1	31537								53712.00000000	-83936.00000000	-2728.00000000	a,No Requirements\0	a,Tunatun wants to have the Jewel of Innocence. But he cannot get it by himself, so asks to get it for him to the Adventurer. \0	0																																																																									0				0	0	0	200	0	3	15623	15624	9553									3	26950000	3093200	1									1	2							
1	26	1	a,Tired of Waiting\0	a,Post Haste\0	a,Isabel Silvershadow in Hunter's Village is in dire need of an adventurer who will hear her request. Silvershadow says that someone is anxiously waiting to receive an item from her and that there could be consequences to those who make this person wait...\\n\0	0															0															0															99361.00000000	109843.00000000	-3664.00000000	0																																	0	80	0	1	a,Valley Trader Kitzka\0	0	1	1	1	30655								115791.00000000	75867.00000000	-2714.00000000	a,No Requirements\0	a,Isabel Silvershadow in Hunter's Village is in dire need of an adventurer who will hear her request. Silvershadow says that someone is anxiously waiting to receive an item from her and that there could be consequences to those who make this person wait...\\n\0	0																																																																									0				0	0	0	97	0	1	15625											1	0											1	0							
1	26	-1	a,Tired of Waiting\0	a,	a,	0															0															0															0.00000000	0.00000000	0.00000000	0																																	0	80	0	1	a,	1	1	1	1	30655								115791.00000000	75867.00000000	-2714.00000000	a,No Requirements\0	a,Isabel Silvershadow in Hunter's Village is in dire need of an adventurer who will hear her request. Silvershadow says that someone is anxiously waiting to receive an item from her and that there could be consequences to those who make this person wait...\\n\0	0																																																																									0				0	0	0	97	0	1	15625											1	0											1	1							
1	27	1	a,Chest Caught with Wind Bait\0	a,A Strange Box\0	a,Lanosco asks you to look for a large blue treasure chest. You should use the special bait he gave you to find it. You can also ask around to see if anyone has already found the chest.\0	1	6500														1	0														1	1														19539.00000000	145987.00000000	-3068.00000000	0																																	0	27	29	3	a,Lanosco\0	1	1	1	1	31570								19539.00000000	145987.00000000	-3068.00000000	a,Completion of "Lanosco's Special Bait" quest\0	a,Lanosco asks you to look for a lost treasure chest. He thinks it was probably dropped into the water. You should try fishing for it. When you find it, open it up to see what it contains and then return it to its original owner. One time quest.\0	0																																																																									0				0	50	0	1	0	1	880											1	1											1	0							
1	27	2	a,Chest Caught with Wind Bait\0	a,An Strange Golem Blueprint\0	a,When you open the large blue treasure chest, you find an Strange Golem Blueprint. Take it to Shaling at the Blacksmith Shop in the Town of Dion. \\n\0	1	7625														1	0														1	1														19600.00000000	143344.00000000	-3026.00000000	0																																	0	27	29	3	a,Shaling\0	0	1	1	1	31570								19539.00000000	145987.00000000	-3068.00000000	a,Completion of "Lanosco's Special Bait" quest\0	a,Lanosco asks you to look for a lost treasure chest. He thinks it was probably dropped into the water. You should try fishing for it. When you find it, open it up to see what it contains and then return it to its original owner. One time quest.\0	0																																																																									0				0	50	0	1	0	1	880											1	1											1	1							
1	27	-1	a,Chest Caught with Wind Bait\0	a,	a,	0															0															0															0.00000000	0.00000000	0.00000000	0																																	0	27	29	3	a,	1	1	1	1	31570								19539.00000000	145987.00000000	-3068.00000000	a,Completion of "Lanosco's Special Bait" quest\0	a,Lanosco asks you to look for a lost treasure chest. He thinks it was probably dropped into the water. You should try fishing for it. When you find it, open it up to see what it contains and then return it to its original owner. One time quest.\0	0																																																																									0				0	50	0	1	0	1	880											1	1											1	2							
1	28	1	a,Chest Caught with Icy Air Bait\0	a,Searching For a Strange Box\0	a,O'Fulle asks you to find a yellow treasure chest. Its owner lost it in the water. If your fishing skill is at least level 12, try using a special bait to find it, or, you could ask around to see if anyone has already found it.\0	1	6503														1	0														1	1														80512.00000000	147712.00000000	-3502.00000000	0																																	0	36	38	3	a,O'Fulle\0	1	1	1	1	31572								80512.00000000	147712.00000000	-3502.00000000	a,Completion of "O'Fulle's Special Bait" quest\0	a,Fishing Guild Member O'Fulle asks you to find a missing box. Its owner dropped it near the water. Keep an eye out for it while you're fishing. If you find it, feel free to open it up so that you'll know who to return it to. This is an one-time quest.\0	0																																																																									0				0	51	0	16	0	1	881											1	1											1	0							
1	28	2	a,Chest Caught with Icy Air Bait\0	a,Delivering Kiki's Letter\0	a,You find a letter when you open the yellow chest. Take it to Mineral Trader Kiki at the Blacksmith Shop in the village. \\n\0	1	7626														1	0														1	1														77446.00000000	148302.00000000	-3600.00000000	0																																	0	36	38	3	a,Kiki\0	0	1	1	1	31572								80512.00000000	147712.00000000	-3502.00000000	a,Completion of "O'Fulle's Special Bait" quest\0	a,Fishing Guild Member O'Fulle asks you to find a missing box. Its owner dropped it near the water. Keep an eye out for it while you're fishing. If you find it, feel free to open it up so that you'll know who to return it to. This is an one-time quest.\0	0																																																																									0				0	51	0	16	0	1	881											1	1											1	1							
1	28	-1	a,Chest Caught with Icy Air Bait\0	a,	a,	0															0															0															0.00000000	0.00000000	0.00000000	0																																	0	36	38	3	a,	1	1	1	1	31572								80512.00000000	147712.00000000	-3502.00000000	a,Completion of "O'Fulle's Special Bait" quest\0	a,Fishing Guild Member O'Fulle asks you to find a missing box. Its owner dropped it near the water. Keep an eye out for it while you're fishing. If you find it, feel free to open it up so that you'll know who to return it to. This is an one-time quest.\0	0																																																																									0				0	51	0	16	0	1	881											1	1											1	2							
1	29	1	a,Chest Caught with Earth Bait\0	a,A Small Purple Box\0	a,Fishing Guild Member Willie asks you to find a small purple box. Its owner dropped it in the water. You could try to fish it out with special bait ergonomically designed to attract "purple boxes", or you could ask around to see if anyone's already found it.\\n\0	1	6507														1	0														1	1														79774.00000000	54746.00000000	-1545.00000000	0																																	0	48	50	3	a,Willie\0	1	1	1	1	31574								79774.00000000	54746.00000000	-1545.00000000	a,Completion of "Willie's Special Bait" quest\0	a,Fishing Guild Member Willie asks you to find a missing box. Its owner dropped it near the water. Keep an eye out for it while you're fishing. If you find it, feel free to open it up so that you'll know who to return it to. This is an one-time quest.\0	0																																																																									0				0	52	0	67	0	1	2455											1	1											1	0							
1	29	2	a,Chest Caught with Earth Bait\0	a,A Small Glass Box\0	a,When you open the small purple treasure chest, you find a small glass box. Take it to Anabel in Heine Village. \\n\0	1	7627														1	0														1	1														111549.00000000	217381.00000000	-3458.00000000	0																																	0	48	50	3	a,Anabel\0	0	1	1	1	31574								79774.00000000	54746.00000000	-1545.00000000	a,Completion of "Willie's Special Bait" quest\0	a,Fishing Guild Member Willie asks you to find a missing box. Its owner dropped it near the water. Keep an eye out for it while you're fishing. If you find it, feel free to open it up so that you'll know who to return it to. This is an one-time quest.\0	0																																																																									0				0	52	0	67	0	1	2455											1	1											1	1							
1	29	-1	a,Chest Caught with Earth Bait\0	a,	a,	0															0															0															0.00000000	0.00000000	0.00000000	0																																	0	48	50	3	a,	1	1	1	1	31574								79774.00000000	54746.00000000	-1545.00000000	a,Completion of "Willie's Special Bait" quest\0	a,Fishing Guild Member Willie asks you to find a missing box. Its owner dropped it near the water. Keep an eye out for it while you're fishing. If you find it, feel free to open it up so that you'll know who to return it to. This is an one-time quest.\0	0																																																																									0				0	52	0	67	0	1	2455											1	1											1	2							
1	31	1	a,Secret Buried in the Swamp\0	a,Search for Researcher Krorin!\0	a,Find the whereabouts of Researcher Krorin, who disappeared while investigating the Swamp of Screams. Also recover Krorin's research journal containing information about the monument of the ancients that Krorin uncovered through his investigation. \\n\0	0															0															0															83387.00000000	-54294.00000000	-2304.00000000	0																																	0	66	76	3	a,The place where Researcher Krorin disappeared.\0	0	1	1	1	31555								69348.00000000	-50408.00000000	-3288.00000000	a,No Requirements\0	a,Mercenary Supplier Abercrombie of the Golden Ram Mercenary Force asks you to find a researcher who went missing while he was exploring for relics of an ancient empire that lay hidden in the Swamp of Screams.\0	0																																																																									0				0	0	0	200	0	3	15623	15624	57									3	1650970	163164	343430									1	0							
1	31	2	a,Secret Buried in the Swamp\0	a,Take the journal to Abercrombie!\0	a,Take the research journal you recovered from Researcher Krorin and take it to Abercrombie who is in the Barracks of the Golden Ram Mercenary Force. \\n\0	1	7252														1	0														1	1														69348.00000000	-50408.00000000	-3288.00000000	0																																	0	66	76	3	a,Mercenary Supplier Abercrombie\0	0	1	1	1	31555								69348.00000000	-50408.00000000	-3288.00000000	a,No Requirements\0	a,Mercenary Supplier Abercrombie of the Golden Ram Mercenary Force asks you to find a researcher who went missing while he was exploring for relics of an ancient empire that lay hidden in the Swamp of Screams.\0	0																																																																									0				0	0	0	200	0	3	15623	15624	57									3	1650970	163164	343430									1	1							
1	31	3	a,Secret Buried in the Swamp\0	a,Find the forgotten monument!\0	a,Continue Krorin's investigation of the ancient stone tablet. From his journal, you've found the first monument. Now, find the second one. \\n\0	0															0															0															67922.00000000	-57635.00000000	-3472.00000000	0																																	0	66	76	3	a,Forgotten Monument - First\0	1	1	1	1	31555								69348.00000000	-50408.00000000	-3288.00000000	a,No Requirements\0	a,Mercenary Supplier Abercrombie of the Golden Ram Mercenary Force asks you to find a researcher who went missing while he was exploring for relics of an ancient empire that lay hidden in the Swamp of Screams.\0	0																																																																									0				0	0	0	200	0	3	15623	15624	57									3	1650970	163164	343430									1	2							
1	31	4	a,Secret Buried in the Swamp\0	a,Find the second monument!\0	a,Go to the location indicated by the diagram engraved on the surface of the stone tablet to find the second monument. \\n\0	0															0															0															77184.00000000	-44064.00000000	-3264.00000000	0																																	0	66	76	3	a,Forgotten Monument - Second\0	1	1	1	1	31555								69348.00000000	-50408.00000000	-3288.00000000	a,No Requirements\0	a,Mercenary Supplier Abercrombie of the Golden Ram Mercenary Force asks you to find a researcher who went missing while he was exploring for relics of an ancient empire that lay hidden in the Swamp of Screams.\0	0																																																																									0				0	0	0	200	0	3	15623	15624	57									3	1650970	163164	343430									1	3							
1	31	5	a,Secret Buried in the Swamp\0	a,Find the third monument!\0	a,Go to the location indicated by the geometrical figures engraved on the surface of the stone tablet to find the third monument. \\n\0	0															0															0															78832.00000000	-61536.00000000	-2308.00000000	0																																	0	66	76	3	a,Forgotten Monument - Third\0	1	1	1	1	31555								69348.00000000	-50408.00000000	-3288.00000000	a,No Requirements\0	a,Mercenary Supplier Abercrombie of the Golden Ram Mercenary Force asks you to find a researcher who went missing while he was exploring for relics of an ancient empire that lay hidden in the Swamp of Screams.\0	0																																																																									0				0	0	0	200	0	3	15623	15624	57									3	1650970	163164	343430									1	4							
