name	id_mk	id_recipe	level	id_item	count	UNK[0]	UNK[1]	mp_cost	success_rate	mat_cnt	item_1	count_1	unk_1	item_2	count_2	unk_2	item_3	count_3	unk_3	item_4	count_4	unk_4	item_5	count_5	unk_5	item_6	count_6	unk_6	item_7	count_7	unk_7	item_8	count_8	unk_8	item_9	count_9	unk_9	item_10	count_10	unk_10
a,mk_leather_tunic\0	12	1796	1	429	1	1	0	45	100	7	1796	1	0	1922	10	0	36516	4	0	36536	1	4095	36551	1	0	36561	1	0	34994	22	0									
a,mk_leather_hose\0	13	1797	1	464	1	1	0	45	100	7	1797	1	0	1923	10	0	36516	2	0	36536	1	4095	36551	1	0	36561	1	0	34994	14	0									
a,mk_leather_helmet\0	14	1798	1	44	1	1	0	60	100	7	1798	1	0	1924	10	0	36516	4	0	36536	1	4095	36551	1	0	36561	1	0	34994	28	0									
a,mk_leather_gloves\0	15	1799	1	50	1	1	0	60	100	7	1799	1	0	1925	10	0	36516	3	0	36536	1	4095	36551	1	0	36561	1	0	34994	19	0									
a,mk_piece_bone_breastplate\0	16	1800	1	25	1	1	0	63	100	7	1800	1	0	1926	10	0	36521	5	0	36541	3	4108	36551	2	0	36561	2	0	34994	86	0									
a,mk_piece_bone_gaiters\0	17	1801	1	32	1	1	0	63	100	7	1801	1	0	1928	10	0	36521	3	0	36541	2	4108	36551	2	0	36561	1	0	34994	54	0									
a,mk_necklace_of_anguish\0	18	1802	1	907	1	1	0	45	100	6	1802	1	0	1896	10	0	36521	2	0	36556	1	0	36561	1	0	34994	13	0												
a,mk_necklace_of_wisdom\0	19	1803	1	908	1	1	0	60	100	6	1803	1	0	1897	10	0	36521	4	0	36556	3	0	36561	1	0	34994	32	0												
a,mk_soulshot_d\0	20	1804	2	1463	468	1	0	72	100	2	1785	9	0	1458	3	0																								
a,mk_soulshot_c\0	21	1805	4	1464	952	1	0	84	100	2	1785	30	0	1459	2	0																								
a,mk_soulshot_b\0	22	1806	6	1465	450	1	0	100	100	2	1785	54	0	1460	1	0																								
a,mk_soulshot_a\0	23	1807	7	1466	300	1	0	120	100	2	1785	36	0	1461	1	0																								
a,mk_soulshot_s\0	24	1808	8	1467	350	1	0	150	100	2	1785	40	0	1462	1	0																								
a,mk_leather\0	25	1814	1	1882	1	1	0	10	100	1	1867	6	0																											
a,mk_cord\0	26	1817	2	1884	20	1	0	20	100	2	1880	2	30	1868	25	0																								
a,mk_oriharukon\0	27	1825	4	1893	1	1	0	40	100	3	1888	1	36	1873	12	0	1874	4	0																					
a,mk_braided_hemp\0	28	2135	1	1878	1	1	0	10	100	1	1864	5	0																											
a,mk_cokes\0	29	2136	1	1879	1	1	0	10	100	2	1870	3	0	1871	3	0																								
a,mk_steel\0	30	2137	1	1880	1	1	0	10	100	2	1865	5	0	1869	5	0																								
a,mk_coarse_bone_powder\0	31	2138	1	1881	1	1	0	10	100	1	1872	10	0																											
a,mk_steel_mold\0	32	2139	2	1883	1	1	0	20	100	3	1878	5	28	1869	5	0	1870	5	0																					
a,mk_high_grade_suede\0	33	2140	2	1885	1	1	0	20	100	2	1881	1	31	1866	3	0																								
a,mk_silver_mold\0	34	2141	2	1886	1	1	0	20	100	3	1878	5	28	1879	5	29	1873	10	0																					
a,mk_varnish_of_purity\0	35	2142	2	1887	1	1	0	20	100	3	1881	3	31	1865	3	0	1875	1	0																					
a,mk_synthesis_cokes\0	36	2143	2	1888	1	1	0	20	100	2	1879	3	29	1874	1	0																								
a,mk_compound_braid\0	37	2144	2	1889	1	1	0	20	100	2	1878	5	28	1868	5	0																								
a,mk_mithirl_alloy\0	38	2145	4	1890	1	1	0	40	100	3	1887	1	35	1880	2	30	1876	1	0																					
a,mk_artisan's_frame\0	39	2146	4	1891	1	1	0	40	100	3	1883	1	32	1887	5	35	1877	10	0																					
a,mk_blacksmith's_frame\0	40	2147	4	1892	1	1	0	40	100	3	1886	1	34	1887	5	35	1876	10	0																					
a,mk_crafted_leather\0	41	2148	4	1894	1	1	0	40	100	3	1884	4	26	1882	4	25	1870	4	0																					
a,mk_metallic_fiber\0	42	2149	4	1895	20	1	0	40	100	2	1884	20	26	1873	15	0																								
a,mk_blue_diamond_necklace\0	43	2150	1	909	1	1	0	72	100	6	2150	1	0	1898	10	0	36521	7	0	36556	4	0	36561	1	0	34994	58	0												
a,mk_necklace_of_devotion\0	44	2151	2	910	1	1	0	84	100	7	2151	1	0	1899	10	0	36521	11	0	36556	7	0	36561	2	0	2130	5	0	1458	9	0									
a,mk_enchanted_necklace\0	45	2152	2	911	1	1	0	96	100	7	2152	1	0	1900	10	0	36521	17	0	36556	11	0	36561	3	0	2130	7	0	1458	14	0									
a,mk_tiger'seye_earing\0	46	2153	3	849	1	1	0	108	100	7	2153	1	0	1901	10	0	36521	19	0	36556	12	0	36561	3	0	2130	8	0	1458	16	0									
a,mk_elven_earing\0	47	2154	3	850	1	1	1	120	100	7	2154	1	0	1902	10	0	36521	29	0	36556	18	0	36561	5	0	2130	12	0	1458	24	0									
a,mk_elven_ring\0	48	2155	3	881	1	1	1	120	100	7	2155	1	0	1903	10	0	36521	20	0	36556	12	0	36561	3	0	2130	8	0	1458	16	0									
a,mk_elven_necklace\0	49	2156	3	913	1	1	1	120	100	7	2156	1	0	1904	10	0	36521	39	0	36556	23	0	36561	6	0	2130	15	0	1458	31	0									
a,mk_onyxbeast'seye_earing\0	50	2157	4	851	1	1	1	129	100	7	2157	1	0	1905	10	0	36521	38	0	36556	23	0	36561	6	0	2130	15	0	1458	30	0									
a,mk_mithril_ring\0	51	2158	4	882	1	1	1	129	100	7	2158	1	0	1906	10	0	36521	25	0	36556	15	0	36561	4	0	2130	10	0	1458	20	0									
a,mk_necklace_of_darkness\0	52	2159	4	914	1	1	1	129	100	7	2159	1	0	1907	10	0	36521	50	0	36556	30	0	36561	8	0	2130	20	0	1458	40	0									
a,mk_moonstone_earing\0	53	2160	4	852	1	1	1	138	100	7	2160	1	0	1908	10	0	36522	2	0	36557	1	0	36562	1	0	2131	7	0	1459	9	0									
a,mk_aquastone_ring\0	54	2161	4	883	1	1	1	138	100	7	2161	1	0	1909	10	0	36522	1	0	36557	1	0	36562	1	0	2131	5	0	1459	6	0									
a,mk_aquastone_necklace\0	55	2162	4	915	1	1	1	138	100	7	2162	1	0	1910	10	0	36522	2	0	36557	1	0	36562	1	0	2131	9	0	1459	12	0									
a,mk_earing_of_protection\0	56	2163	5	853	1	1	1	147	100	7	2163	1	0	1911	10	0	36522	2	0	36557	1	0	36562	1	0	2131	8	0	1459	11	0									
a,mk_ring_of_protection\0	57	2164	5	884	1	1	1	147	100	7	2164	1	0	1912	10	0	36522	1	0	36557	1	0	36562	1	0	2131	6	0	1459	7	0									
a,mk_necklace_of_protection\0	58	2165	5	916	1	1	1	147	100	7	2165	1	0	1913	10	0	36522	2	0	36557	2	0	36562	1	0	2131	11	0	1459	14	0									
a,mk_earing_of_binding\0	59	2166	5	854	1	1	1	156	100	7	2166	1	0	1914	10	0	36522	2	0	36557	2	0	36562	1	0	2131	12	0	1459	16	0									
a,mk_ring_of_ages\0	60	2167	5	885	1	1	1	156	100	7	2167	1	0	1915	10	0	36522	2	0	36557	1	0	36562	1	0	2131	8	0	1459	11	0									
a,mk_necklace_of_mermaid\0	61	2168	5	917	1	1	1	156	100	7	2168	1	0	1916	10	0	36522	3	0	36557	2	0	36562	1	0	2131	16	0	1459	21	0									
a,mk_necklace_of_binding\0	62	2169	6	119	1	1	1	165	100	7	2169	1	0	1920	10	0	36522	4	0	36557	3	0	36562	1	0	2131	23	0	1459	31	0									
a,mk_nassen's_earing\0	63	2170	6	855	1	1	1	165	100	7	2170	1	0	1918	10	0	36522	3	0	36557	2	0	36562	1	0	2131	17	0	1459	23	0									
a,mk_ring_of_sage\0	64	2171	7	891	1	1	0	183	100	7	2171	1	0	1919	10	0	36522	4	0	36557	3	0	36562	1	0	2132	8	0	1460	11	0									
a,mk_sage's_necklace\0	65	2172	7	922	1	1	0	183	100	7	2172	1	0	1917	10	0	36522	8	0	36557	5	0	36562	2	0	2132	15	0	1460	22	0									
a,mk_hard_leather_shirt\0	66	2173	1	27	1	1	0	72	100	7	2173	1	0	1927	10	0	36516	15	0	36536	4	4095	36551	2	0	36561	2	0	34994	100	0									
a,mk_hard_leather_gaiters\0	67	2174	1	33	1	1	0	72	100	7	2174	1	0	1929	10	0	36516	9	0	36536	3	4095	36551	2	0	36561	1	0	34994	62	0									
a,mk_boots\0	68	2175	1	39	1	1	0	72	100	7	2175	1	0	1930	10	0	36516	5	0	36536	2	4095	36551	1	0	36561	1	0	34994	34	0									
a,mk_leather_boots\0	69	2176	2	40	1	1	0	84	100	8	2176	1	0	1931	10	0	36516	9	0	36536	3	4095	36551	2	0	36561	1	0	2130	3	0	1458	5	0						
a,mk_bone_helmet\0	70	2177	2	45	1	1	0	84	100	8	2177	1	0	1932	10	0	36521	5	0	36541	3	4108	36551	2	0	36561	2	0	2130	4	0	1458	8	0						
a,mk_dark_hose\0	71	2178	2	467	1	1	0	96	100	8	2178	1	0	1933	10	0	36526	27	0	36531	8	0	36551	4	0	36561	3	0	2130	8	0	1458	15	0						
a,mk_excellence_leather_gloves\0	72	2179	2	604	1	1	0	84	100	8	2179	1	0	1934	10	0	36516	9	0	36536	3	4095	36551	2	0	36561	1	0	2130	3	0	1458	5	0						
a,mk_scale_mail\0	73	2180	2	348	1	1	0	96	100	8	2180	1	0	1935	10	0	36521	20	0	36541	10	4108	36551	7	0	36561	6	0	2130	16	0	1458	32	0						
a,mk_white_tunic\0	74	2181	2	434	1	1	0	96	100	8	2181	1	0	1936	10	0	36526	42	0	36531	13	0	36551	6	0	36561	5	0	2130	12	0	1458	24	0						
a,mk_scale_gaiters\0	75	2182	2	377	1	1	0	96	100	8	2182	1	0	1937	10	0	36521	13	0	36541	6	4108	36551	5	0	36561	4	0	2130	10	0	1458	20	0						
a,mk_mithril_banded_mail\0	76	2183	3	393	1	1	0	108	100	8	2183	1	0	1938	10	0	36516	59	0	36536	15	4095	36551	8	0	36561	7	0	2130	18	0	1458	36	0						
a,mk_mithril_banded_gaiters\0	77	2184	3	415	1	1	0	108	100	8	2184	1	0	1939	10	0	36516	37	0	36536	10	4095	36551	5	0	36561	5	0	2130	11	0	1458	23	0						
a,mk_iron_boots\0	78	2185	3	553	1	1	0	108	100	8	2185	1	0	1940	10	0	36521	8	0	36541	4	4108	36551	3	0	36561	3	0	2130	6	0	1458	13	0						
a,mk_brigandine\0	79	2186	3	352	1	1	0	120	100	8	2186	1	0	1941	10	0	36521	45	0	36541	21	4108	36551	16	0	36561	13	0	2130	35	0	1458	71	0						
a,mk_manticor_skin_shirt\0	80	2187	3	395	1	1	0	120	100	8	2187	1	0	1942	10	0	36516	86	0	36536	22	4095	36551	12	0	36561	10	0	2130	26	0	1458	53	0						
a,mk_manticor_skin_gaiters\0	81	2188	3	417	1	1	0	120	100	8	2188	1	0	1943	10	0	36516	54	0	36536	14	4095	36551	8	0	36561	7	0	2130	17	0	1458	34	0						
a,mk_mithril_tunic\0	82	2189	3	437	1	1	0	120	100	8	2189	1	0	1944	10	0	36526	94	0	36531	29	0	36551	12	0	36561	10	0	2130	26	0	1458	53	0						
a,mk_mithril_hose\0	83	2190	3	470	1	1	0	120	100	8	2190	1	0	1945	10	0	36526	59	0	36531	18	0	36551	8	0	36561	7	0	2130	17	0	1458	34	0						
a,mk_gauntlet_of_repose_of_the_soul\0	84	2191	3	606	1	1	0	120	100	8	2191	1	0	1946	10	0	36521	12	0	36541	6	4108	36551	4	0	36561	4	0	2130	9	0	1458	18	0						
a,mk_kite_shield\0	85	2192	3	629	1	1	0	120	100	8	2192	1	0	1947	10	0	36521	12	0	36541	6	4108	36551	5	0	36561	4	0	2130	10	0	1458	19	0						
a,mk_boots_of_power\0	86	2193	3	1124	1	1	0	120	100	8	2193	1	0	1948	10	0	36521	12	0	36541	6	4108	36551	4	0	36561	4	0	2130	9	0	1458	18	0						
a,mk_mithril_glove\0	87	2194	4	61	1	1	0	129	100	8	2194	1	0	1949	10	0	36526	41	0	36531	13	0	36551	6	0	36561	5	0	2130	12	0	1458	24	0						
a,mk_half_plate\0	88	2195	4	353	1	1	0	129	100	8	2195	1	0	1950	10	0	36521	58	0	36541	27	4108	36551	21	0	36561	17	0	2130	46	0	1458	93	0						
a,mk_plate_gaiters\0	89	2196	4	380	1	1	0	129	100	8	2196	1	0	1951	10	0	36521	37	0	36541	17	4108	36551	13	0	36561	11	0	2130	29	0	1458	58	0						
a,mk_slamander_skin_mail\0	90	2197	4	396	1	1	0	129	100	8	2197	1	0	1952	10	0	36516	184	0	36536	46	4095	36551	25	0	36561	21	0	2130	55	0	1458	113	0						
a,mk_sage's_rag\0	91	2198	4	438	1	1	0	129	100	8	2198	1	0	1953	10	0	36526	200	0	36531	62	0	36551	25	0	36561	21	0	2130	55	0	1458	113	0						
a,mk_karmian_hose\0	92	2199	4	471	1	1	0	138	100	8	2199	1	0	1954	10	0	36527	3	0	36532	1	0	36552	1	0	36562	1	0	2131	10	0	1459	13	0						
a,mk_chain_helmet\0	93	2200	4	497	1	1	0	129	100	8	2200	1	0	1955	10	0	36521	22	0	36541	11	4108	36551	8	0	36561	7	0	2130	17	0	1458	35	0						
a,mk_square_shield\0	94	2201	4	630	1	1	0	129	100	8	2201	1	0	1956	10	0	36521	16	0	36541	8	4108	36551	6	0	36561	5	0	2130	12	0	1458	25	0						
a,mk_assault_boots\0	95	2202	4	1125	1	1	0	129	100	8	2202	1	0	1957	10	0	36521	15	0	36541	7	4108	36551	6	0	36561	5	0	2130	12	0	1458	24	0						
a,mk_mithril_boots\0	96	2203	4	62	1	1	0	138	100	8	2203	1	0	1958	10	0	36522	1	0	36542	1	4111	36552	1	0	36562	1	0	2131	5	0	1459	7	0						
a,mk_chain_mail_shirt\0	97	2204	4	354	1	1	0	138	100	8	2204	1	0	1959	10	0	36522	2	0	36542	1	4111	36552	1	0	36562	1	0	2131	20	0	1459	26	0						
a,mk_chain_gaiters\0	98	2205	4	381	1	1	0	138	100	8	2205	1	0	1960	10	0	36522	2	0	36542	1	4111	36552	1	0	36562	1	0	2131	13	0	1459	17	0						
a,mk_tempered_mithril_shirt\0	99	2206	4	397	1	1	0	138	100	8	2206	1	0	1961	10	0	36517	4	0	36537	1	4098	36552	1	0	36562	1	0	2131	15	0	1459	20	0						
a,mk_karmian_tunic\0	100	2207	4	439	1	1	0	138	100	8	2207	1	0	1962	10	0	36527	4	0	36532	2	0	36552	1	0	36562	1	0	2131	15	0	1459	20	0						
a,mk_ogre_power_gauntlet\0	101	2208	4	607	1	1	0	129	100	8	2208	1	0	1963	10	0	36521	15	0	36541	7	4108	36551	6	0	36561	5	0	2130	12	0	1458	24	0						
a,mk_eldarake\0	102	2209	4	631	1	1	0	138	100	8	2209	1	0	1964	10	0	36522	1	0	36542	1	4111	36552	1	0	36562	1	0	2131	6	0	1459	7	0						
a,mk_metal_plate_helmet\0	103	2210	4	498	1	1	0	141	100	8	2210	1	0	1965	10	0	36522	1	0	36542	1	4111	36552	1	0	36562	1	0	2131	8	0	1459	11	0						
a,mk_plate_leather\0	104	2211	5	398	1	1	0	144	100	8	2211	1	0	1966	10	0	36517	4	0	36537	1	4098	36552	1	0	36562	1	0	2131	18	0	1459	23	0						
a,mk_plate_leather_gaiters\0	105	2212	5	418	1	1	0	144	100	8	2212	1	0	1967	10	0	36517	3	0	36537	1	4098	36552	1	0	36562	1	0	2131	11	0	1459	15	0						
a,mk_dwarven_chain_mail_shirt\0	106	2213	5	355	1	1	0	147	100	8	2213	1	0	1968	10	0	36522	3	0	36542	1	4111	36552	1	0	36562	1	0	2131	25	0	1459	34	0						
a,mk_dwarven_chain_gaiters\0	107	2214	5	382	1	1	0	147	100	8	2214	1	0	1969	10	0	36522	2	0	36542	1	4111	36552	1	0	36562	1	0	2131	16	0	1459	21	0						
a,mk_robe_of_seal\0	108	2215	5	440	1	1	0	147	100	8	2215	1	0	1970	10	0	36527	8	0	36532	3	0	36552	1	0	36562	1	0	2131	31	0	1459	41	0						
a,mk_great_helmet\0	109	2216	5	500	1	1	0	147	100	8	2216	1	0	1971	10	0	36522	1	0	36542	1	4111	36552	1	0	36562	1	0	2131	10	0	1459	13	0						
a,mk_knight_shield\0	110	2217	5	632	1	1	0	147	100	8	2217	1	0	1972	10	0	36522	1	0	36542	1	4111	36552	1	0	36562	1	0	2131	7	0	1459	9	0						
a,mk_paagrio_hand\0	111	2218	5	1120	1	1	0	147	100	8	2218	1	0	1973	10	0	36527	2	0	36532	1	0	36552	1	0	36562	1	0	2131	7	0	1459	9	0						
a,mk_crimson_boots\0	112	2219	5	1126	1	1	0	147	100	8	2219	1	0	1974	10	0	36527	2	0	36532	1	0	36552	1	0	36562	1	0	2131	7	0	1459	9	0						
a,mk_rind_leather_mail\0	113	2220	5	399	1	1	0	147	100	8	2220	1	0	1975	10	0	36517	5	0	36537	2	4098	36552	1	0	36562	1	0	2131	19	0	1459	25	0						
a,mk_rind_leather_gaiters\0	114	2221	5	419	1	1	0	147	100	8	2221	1	0	1976	10	0	36517	3	0	36537	1	4098	36552	1	0	36562	1	0	2131	12	0	1459	16	0						
a,mk_composite_armor\0	115	2222	5	60	1	1	0	156	100	8	2222	1	0	1977	10	0	36522	6	0	36542	3	4111	36547	3	0	36562	2	0	2131	62	0	1459	82	0						
a,mk_tower_shield\0	116	2223	5	103	1	1	0	156	100	8	2223	1	0	1978	10	0	36522	1	0	36542	1	4111	36552	1	0	36562	1	0	2131	10	0	1459	14	0						
a,mk_demon's_tunic\0	117	2224	5	441	1	1	0	156	100	8	2224	1	0	1979	10	0	36527	7	0	36532	3	0	36552	1	0	36562	1	0	2131	29	0	1459	38	0						
a,mk_demon's_hose\0	118	2225	5	472	1	1	0	156	100	8	2225	1	0	1980	10	0	36527	5	0	36532	2	0	36552	1	0	36562	1	0	2131	18	0	1459	24	0						
a,mk_mithril_gauntlet\0	119	2226	5	608	1	1	0	156	100	8	2226	1	0	1981	10	0	36522	1	0	36542	1	4111	36552	1	0	36562	1	0	2131	10	0	1459	13	0						
a,mk_forgotten_boots\0	120	2227	5	1127	1	1	0	156	100	8	2227	1	0	1982	10	0	36527	3	0	36532	1	0	36552	1	0	36562	1	0	2131	10	0	1459	13	0						
a,mk_shining_circlet\0	121	2228	5	1149	1	1	0	156	100	8	2228	1	0	1983	10	0	36527	4	0	36532	2	0	36552	1	0	36562	1	0	2131	15	0	1459	19	0						
a,mk_theca_leather_mail\0	122	2229	5	400	1	1	0	159	100	8	2229	1	0	1984	10	0	36517	7	0	36537	2	4098	36552	1	0	36562	1	0	2131	32	0	1459	43	0						
a,mk_theca_leather_gaiters\0	123	2230	5	420	1	1	0	159	100	8	2230	1	0	1985	10	0	36517	5	0	36537	2	4098	36552	1	0	36562	1	0	2131	20	0	1459	27	0						
a,mk_full_plate_armor\0	124	2231	6	356	1	1	0	165	100	8	2231	1	0	1986	10	0	36522	8	0	36542	4	4111	36547	3	0	36562	3	0	2131	90	0	1459	120	0						
a,mk_drake_leather_mail\0	125	2232	6	401	1	1	0	165	100	8	2232	1	0	1987	10	0	36517	15	0	36537	4	4098	36552	2	0	36562	2	0	2131	68	0	1459	90	0						
a,mk_divine_tunic\0	126	2233	6	442	1	1	0	165	100	8	2233	1	0	1988	10	0	36527	10	0	36532	4	0	36552	2	0	36562	2	0	2131	42	0	1459	55	0						
a,mk_divine_hose\0	127	2234	6	473	1	1	0	165	100	8	2234	1	0	1989	10	0	36527	7	0	36532	2	0	36552	1	0	36562	1	0	2131	26	0	1459	35	0						
a,mk_mithril_helmet\0	128	2235	6	499	1	1	0	165	100	8	2235	1	0	1990	10	0	36522	2	0	36542	1	4111	36552	1	0	36562	1	0	2131	21	0	1459	28	0						
a,mk_cap_of_mana\0	129	2236	6	529	1	1	0	165	100	8	2236	1	0	1991	10	0	36527	5	0	36532	2	0	36552	1	0	36562	1	0	2131	21	0	1459	28	0						
a,mk_paradia_hood\0	130	2237	6	531	1	1	0	165	100	8	2237	1	0	1992	10	0	36527	5	0	36532	2	0	36552	1	0	36562	1	0	2131	21	0	1459	28	0						
a,mk_hood_of_sola_eclipse\0	131	2238	6	533	1	1	0	165	100	8	2238	1	0	1993	10	0	36527	5	0	36532	2	0	36552	1	0	36562	1	0	2131	21	0	1459	28	0						
a,mk_hood_of_summons\0	132	2239	6	535	1	1	0	165	100	8	2239	1	0	1994	10	0	36527	5	0	36532	2	0	36552	1	0	36562	1	0	2131	21	0	1459	28	0						
a,mk_elemental_hood\0	133	2240	6	537	1	1	0	165	100	8	2240	1	0	1995	10	0	36527	5	0	36532	2	0	36552	1	0	36562	1	0	2131	21	0	1459	28	0						
a,mk_hood_of_grace\0	134	2241	6	539	1	1	0	165	100	8	2241	1	0	1996	10	0	36527	5	0	36532	2	0	36552	1	0	36562	1	0	2131	21	0	1459	28	0						
a,mk_phoenix's_hood\0	135	2242	6	541	1	1	0	165	100	8	2242	1	0	1997	10	0	36527	5	0	36532	2	0	36552	1	0	36562	1	0	2131	21	0	1459	28	0						
a,mk_hood_of_assistance\0	136	2243	6	543	1	1	0	165	100	8	2243	1	0	1998	10	0	36527	5	0	36532	2	0	36552	1	0	36562	1	0	2131	21	0	1459	28	0						
a,mk_flame_bonnet\0	137	2244	6	545	1	1	0	165	100	8	2244	1	0	1999	10	0	36527	5	0	36532	2	0	36552	1	0	36562	1	0	2131	21	0	1459	28	0						
a,mk_pata_i\0	138	5008	6	264	1	1	0	171	60	8	5008	1	0	5008	10	0	36522	20	0	36542	10	4111	36547	8	0	36562	6	0	2132	118	0	1460	105	0						
a,mk_bonnet_o'_avadon\0	139	2246	6	549	1	1	0	165	100	8	2246	1	0	2001	10	0	36527	5	0	36532	2	0	36552	1	0	36562	1	0	2131	21	0	1459	28	0						
a,mk_helmet_of_pledge\0	140	2247	6	551	1	1	0	165	100	8	2247	1	0	2002	10	0	36527	5	0	36532	2	0	36552	1	0	36562	1	0	2131	21	0	1459	28	0						
a,mk_gauntlet_of_ghost\0	141	2248	6	609	1	1	0	165	100	8	2248	1	0	2003	10	0	36522	2	0	36542	1	4111	36552	1	0	36562	1	0	2131	14	0	1459	19	0						
a,mk_adamantite_boots\0	142	2249	6	1128	1	1	0	165	100	8	2249	1	0	2004	10	0	36522	2	0	36542	1	4111	36552	1	0	36562	1	0	2131	14	0	1459	19	0						
a,mk_bone_arrow\0	143	2250	2	1341	650	1	0	80	100	2	1864	1	0	1881	1	31																								
a,mk_fine_steel_arrow\0	144	2251	3	1342	600	1	0	100	100	2	1864	4	0	1880	1	30																								
a,mk_iron_hammer\0	145	2252	1	87	1	1	0	72	100	7	2252	1	0	2014	10	0	36521	37	0	36541	17	4108	36546	15	0	36561	11	0	34994	658	0									
a,mk_sword_breaker\0	146	2253	1	219	1	1	0	72	100	7	2253	1	0	2015	10	0	36521	37	0	36541	17	4108	36546	15	0	36561	11	0	34994	658	0									
a,mk_composition_bow\0	147	2254	1	273	1	1	0	72	100	7	2254	1	0	2016	10	0	36521	37	0	36541	17	4108	36546	15	0	36561	11	0	34994	658	0									
a,mk_saber\0	148	2255	2	123	1	1	0	84	100	8	2255	1	0	2017	10	0	36521	61	0	36541	29	4108	36546	25	0	36561	18	0	2130	48	0	1458	97	0						
a,mk_assassin_knife\0	149	2256	2	221	1	1	0	84	100	8	2256	1	0	2018	10	0	36521	61	0	36541	29	4108	36546	25	0	36561	18	0	2130	48	0	1458	97	0						
a,mk_trident\0	150	2257	2	291	1	1	0	84	100	8	2257	1	0	2019	10	0	36521	61	0	36541	29	4108	36546	25	0	36561	18	0	2130	48	0	1458	97	0						
a,mk_temptation_of_abyss\0	151	2258	2	313	1	1	0	84	100	4	2258	1	0	2020	10	0	2130	95	0	1458	194	0																		
a,mk_spinebone_sword\0	152	2259	2	125	1	1	0	96	100	8	2259	1	0	2021	10	0	36521	96	0	36541	45	4108	36546	38	0	36561	28	0	2130	75	0	1458	153	0						
a,mk_mace_of_judgment\0	153	2260	2	180	1	1	0	96	100	8	2260	1	0	2022	10	0	36521	96	0	36541	45	4108	36546	38	0	36561	28	0	2130	75	0	1458	153	0						
a,mk_conjure_staff\0	154	2261	2	184	1	1	0	96	100	8	2261	1	0	2023	10	0	36521	96	0	36541	45	4108	36546	38	0	36561	28	0	2130	75	0	1458	153	0						
a,mk_elven_bow\0	155	2262	2	276	1	1	0	96	100	8	2262	1	0	2024	10	0	36521	96	0	36541	45	4108	36546	38	0	36561	28	0	2130	75	0	1458	153	0						
a,mk_dwarven_trident\0	156	2263	2	295	1	1	0	96	100	8	2263	1	0	2025	10	0	36521	96	0	36541	45	4108	36546	38	0	36561	28	0	2130	75	0	1458	153	0						
a,mk_two-handed_sword\0	157	2264	3	124	1	1	0	108	100	8	2264	1	0	2026	10	0	36521	143	0	36541	67	4108	36546	57	0	36561	42	0	2130	112	0	1458	229	0						
a,mk_spike_club\0	158	2265	3	157	1	1	0	108	100	8	2265	1	0	2027	10	0	36521	143	0	36541	67	4108	36546	57	0	36561	42	0	2130	112	0	1458	229	0						
a,mk_knife_o'_silenus\0	159	2266	3	241	1	1	0	108	100	8	2266	1	0	2028	10	0	36521	143	0	36541	67	4108	36546	57	0	36561	42	0	2130	112	0	1458	229	0						
a,mk_gastraphetes\0	160	2267	3	278	1	1	0	108	100	8	2267	1	0	2029	10	0	36521	143	0	36541	67	4108	36546	57	0	36561	42	0	2130	112	0	1458	229	0						
